id,acronym,name
1,AFECA,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto
2,AGRIFAM,Associação Agrícola do Distrito Federal e Ride
3,AMISTA,"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno"
4,ASPAF,Associação dos Produtores da Agricultura Familiar
5,ASPAG,Associação dos Produtores Rurais de Alexandre Gusmão
6,ASPHOR,Associação dos Produtores de Hortigranjeiros do Distrito Federal
7,ASPROC,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno
8,ASPRONTE,Associação dos Produtores Rurais Novo Horizonte Betinho
9,ASTRAF,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha
10,COOPBRASIL,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil
11,Cooper-Horti,Cooperativa Agrícola Buriti Vermelho
12,Prorural,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região
13,Coopebraz,Cooperativa Agropecuária da Região de Brazlândia
14,Coopermista,Cooperativa de Agricultura Familiar Mista do Distrito Federal
15,Rede Terra,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado
16,Cootaquara,Cooperativa Agrícola da Região de Planaltina
17,Cooperbrasília,"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde"
