id,name,latitude,longitude
1,São Sebastião,-15.903377,-47.771774
2,Taguatinga,-15.833528,-48.056572
3,Gama,-16.017086,-48.065305
4,Santa Maria,-16.017123,-48.013133
5,Guará,-15.823563,-47.976816
6,Núcleo Bandeirante,-15.871185,-47.967994
7,Plano Piloto,-15.718369,-47.995027
8,Brazlândia,-15.680890,-48.194262
9,Ceilândia,-15.817339,-48.104577
10,Recanto das Emas,-15.902548,-48.060778
11,Samambaia,-15.876999,-48.088100
12,Paranoá,-15.775440,-47.779763
13,Planaltina,-15.618195,-47.655570
14,Sobradinho,-15.650053,-47.784845
