id,name,season_ids
1,Alface,1;2;3
2,Mandioca,1;4
3,Tomate,2;3
4,Repolho,4
5,Batata,3;4
6,Cebola,1;2;3;4
7,Couve,1;4
8,Chuchu,2;3
9,Morango,2
10,Pimentão,1;3
11,Brócolis,1;4
12,Abóbora,3;4
13,Berinjela,2;3
14,Beterraba,1;2
15,Pepino,1;2;3
16,Cenoura,1;2;3;4
17,Quiabo,2;3
18,Agrião,1;2
19,Jiló,2
20,Gengibre,1;4
21,Abacate,3;4
22,Goiaba,1;2
23,Banana,1;2;3;4
24,Limão,1;4
25,Tangerina,3;4
26,Maracujá,2;3
27,Manga,2;3
28,Lichia,2
29,Uva,3;4
30,Atemóia,2;3
31,Cajamanga,2
32,Graviola,2;3
33,Coco,1;2;3;4
34,Pitaia,2
35,Mamão,1;2;3;4
